date,f_open,f_high,f_low,f_close,f_adj_close
2016-01-20,1855.0,1878.5,1804.25,1871.75,3929776
2016-01-21,1861.0,1883.25,1836.25,1854.75,2729407
2016-01-22,1899.25,1902.25,1855.75,1858.5,2106526
2016-01-25,1870.25,1904.25,1867.5,1899.5,1640401
2016-01-26,1896.0,1899.75,1851.25,1871.75,1780235
2016-01-27,1875.0,1910.0,1864.5,1885.25,2113363
2016-01-28,1880.75,1902.5,1865.75,1880.0,2254109
2016-01-29,1930.0,1933.0,1876.5,1878.75,2406399
2016-02-01,1931.25,1940.0,1912.5,1929.75,1748062
2016-02-02,1897.5,1929.25,1889.0,1928.5,2102411
2016-02-03,1908.5,1912.25,1865.0,1895.0,2848193
2016-02-04,1907.75,1922.25,1890.25,1907.75,2255360
2016-02-05,1875.25,1914.5,1865.75,1905.25,2320680
2016-02-08,1852.0,1884.5,1821.75,1876.25,2674512
2016-02-09,1848.25,1863.75,1825.75,1849.75,2792208
2016-02-10,1846.75,1877.75,1838.5,1850.0,2359881
2016-02-11,1824.5,1847.25,1802.5,1842.25,3203999
2016-02-12,1858.25,1860.75,1822.5,1827.25,2018154
2016-02-16,1888.75,1892.75,1865.0,1865.25,2034059
2016-02-17,1922.75,1928.0,1881.5,1888.25,1854185
2016-02-18,1916.5,1933.5,1911.25,1926.75,1615605
2016-02-19,1914.5,1922.75,1898.5,1917.5,1616647
2016-02-22,1936.25,1943.75,1908.25,1911.0,1425321
2016-02-23,1916.0,1938.0,1913.75,1934.0,1600879
2016-02-24,1930.25,1933.75,1886.75,1914.0,2315370
2016-02-25,1950.5,1951.5,1920.25,1933.0,1844284
2016-02-26,1942.75,1968.75,1941.25,1949.0,1876651
2016-02-29,1929.5,1956.25,1926.5,1943.0,1826411
2016-03-01,1978.0,1978.5,1920.75,1928.0,2035550
2016-03-02,1983.5,1984.75,1966.25,1976.25,1821662
2016-03-03,1990.5,1992.5,1974.75,1981.75,1555391
2016-03-04,1995.0,2007.5,1984.0,1991.0,2247812
2016-03-07,1999.0,2004.5,1984.5,1994.5,1633347
2016-03-08,1981.0,2000.25,1976.0,1999.0,1931272
2016-03-09,1989.0,1994.0,1978.0,1981.75,1744984
2016-03-10,1988.75,2010.25,1967.25,1990.0,2738172
2016-03-11,2020.0,2022.25,1987.5,1988.5,1220530
2016-03-14,2018.75,2024.5,2012.0,2019.25,880362
2016-03-15,2015.75,2019.5,2004.5,2019.0,923452
2016-03-16,2027.0,2032.25,2006.5,2016.25,580253
2016-03-17,2039.75,2046.75,2015.75,2026.75,479136
2016-03-18,2048.0,2048.75,2037.0,2041.5,1775664
2016-03-21,2042.75,2044.5,2031.0,2036.5,1278261
2016-03-22,2042.5,2047.5,2028.75,2043.25,1496196
2016-03-23,2028.75,2045.25,2025.25,2043.0,1557185
2016-03-24,2028.5,2030.25,2012.25,2028.0,1524072
2016-03-28,2028.0,2039.75,2022.0,2030.25,907834
2016-03-29,2047.5,2049.25,2019.25,2027.75,1549483
2016-03-30,2055.25,2064.5,2046.75,2048.5,1627085
2016-03-31,2051.5,2059.75,2047.25,2055.5,1736311
2016-04-01,2065.0,2067.0,2035.25,2052.75,2051323
2016-04-04,2057.5,2071.5,2054.25,2064.0,1380117
2016-04-05,2038.75,2055.5,2034.25,2055.5,1827488
2016-04-06,2060.25,2060.5,2035.0,2042.0,1894599
2016-04-07,2035.0,2062.0,2026.0,2059.75,2052195
2016-04-08,2040.75,2054.25,2030.25,2034.5,1768420
2016-04-11,2034.5,2056.5,2032.5,2041.0,1679757
2016-04-12,2055.75,2058.5,2029.25,2032.5,1831285
2016-04-13,2076.0,2077.0,2054.0,2055.25,1637033
2016-04-14,2076.5,2081.75,2068.5,2076.25,1363745
2016-04-15,2075.0,2080.0,2069.5,2077.75,1230494
2016-04-18,2086.75,2088.75,2058.5,2064.25,1400343
2016-04-19,2093.75,2098.5,2084.75,2085.25,1565161
2016-04-20,2098.0,2105.25,2085.75,2094.25,1464683
2016-04-21,2082.75,2104.0,2078.75,2097.75,1638276
2016-04-22,2086.0,2089.0,2075.0,2079.75,1497994
2016-04-25,2083.25,2091.5,2071.0,2091.5,1280888
2016-04-26,2088.5,2091.25,2079.5,2084.25,1225834
2016-04-27,2090.75,2094.0,2076.25,2082.25,1420203
2016-04-28,2072.5,2094.25,2065.25,2092.5,1938653
2016-04-29,2059.0,2076.0,2045.75,2073.75,2419757
2016-05-02,2074.25,2077.5,2055.5,2060.75,1306173
2016-05-03,2057.0,2076.25,2048.0,2075.5,1827577
2016-05-04,2047.0,2060.25,2039.0,2057.5,1557981
2016-05-05,2044.0,2060.0,2039.5,2046.5,1433289
2016-05-06,2052.75,2054.5,2030.5,2043.5,1813432
2016-05-09,2054.25,2059.75,2048.25,2053.0,1370423
2016-05-10,2077.5,2079.75,2048.0,2054.0,1416966
2016-05-11,2058.0,2078.75,2057.5,2077.25,1471852
2016-05-12,2058.75,2072.75,2048.5,2059.0,1799103
2016-05-13,2043.5,2063.5,2038.5,2059.25,1878403
